NOME,RUA,NUMERO,BAIRRO,CIDADE,CEP,LATITUDE,LONGITUDE,CNPJ,PRECO MEDIO,VALOR MINIMO,CATEGORIA,AVALIACAO,TEMPO ENTREGA,VALOR ORIGINAL,SUPER RESTAURANTE
Restaurante Dona Maria,Rua Mário Covas,485,Cidade Kemel,SAO PAULO,08130060,-23.509125,-46.368131,53151097000108,$,10,Marmita,0.0,49,8.99,NÃO
Pizzaria Meu Keridu - Pizza - Esfiha & Calzone,Avenida Miguel Badra,2179,Cidade Miguel Badra,SUZANO,08690010,-23.494101,-46.319216,47681703000196,$,24,Pizza,4.5,45,5,NÃO
Delícia Fitness Marmitária,Rua Alceu de Amoroso Lima,82,Jardim Moraes,ITAQUAQUECETUBA,08597698,-23.460279,-46.312293,52669994000137,$,10,Saudável,0.0,52,13.99,NÃO
Jz Caldos Marmitex e Bebidas,Rua Rubi,466,Jardim Nicea,ITAQUAQUECETUBA,08589310,-23.435261,-46.304878,,$,20,Brasileira,0.0,0,,NÃO
Ki pastel ,"Rua Um, Miguel Badra (gleba)",37,Recanto São José,SUZANO,08692060,-23.492603,-46.325496,,$,0,Brasileira,0.0,0,,NÃO
Sorrisos Lanches,Rua Macatuba,200,Estância Paraíso,ITAQUAQUECETUBA,08592510,-23.472812,-46.293033,54750437000171,$,20,Lanches,5.0,0,,NÃO
Drika Doces,Rua Planalto,236,Parque Recanto Mônica,ITAQUAQUECETUBA,08592370,-23.462414,-46.289691,35387775000146,$,10,Doces & Bolos,0.0,0,,NÃO
Sabor I Sonho Gourmet,Rua Sérgio Roberto da Silva,224,Jardim Santa Inês,SUZANO,08695015,-23.496475,-46.292021,45250139000121,$,25,Doces & Bolos,0.0,0,,NÃO
Doce e Brasa,Rua Serra dos Dois Irmãos,58,Condomínio Vilage,ITAQUAQUECETUBA,08587310,-23.428603,-46.316173,50409967000108,$,10,Brasileira,0.0,0,,NÃO
Hot Dogueria e Hamburgueria,Rua Piracicaba,1099,Vila Monte Belo,ITAQUAQUECETUBA,08577290,-23.488568,-46.361897,36761837000109,$,20,Cozinha Rápida,0.0,45,6.99,NÃO
Super Dogão,Estrada Presidente Juscelino Kubitscheck de Oliveira,5087,Jardim Albertina,GUARULHOS,72520000,-23.435323,-46.405721,23243444000153,$,18,Lanches,4.8,0,,NÃO
Delicias da Andresa,Rua Cruz e Souza,193,Parque Piratininga,ITAQUAQUECETUBA,08583390,-23.441263,-46.38282,36116842000150,$,10,Doces & Bolos,0.0,0,,NÃO
Yakisoba,Rua Pixinguinha,81,Jardim Maragogipe,ITAQUAQUECETUBA,08580230,-23.452603,-46.340256,27010815000108,$,25,Yakisoba,0.0,51,10,NÃO
Açaí Express,Rua Itamogi,630,Vila Virginia,ITAQUAQUECETUBA,08573250,-23.496051,-46.355524,57614405000137,$,20,Açaí,4.8,22,6.99,NÃO
Docinhos da Cah,Rua Joséfa Monagati Ferri,102,Cidade Miguel Badra,SUZANO,08690135,-23.496086,-46.321544,43547878000154,$,20,Doces & Bolos,0.0,53,14.99,NÃO
Açaí 23 Delivery,Rua Débora De Oliveira De Almeida,170,Vila Real,GUARULHOS,07261700,-23.450634,-46.398557,61957711000143,$,22,Açaí,0.0,0,,NÃO
Flip Burgue,Rua Mirandópolis,239,Parque Recanto Monica,ITAQUAQUECETUBA,08592110,-23.473965,-46.290359,63817079000168,$,20,Brasileira,5.0,0,,NÃO
Kfc - Shopping Itaqua,Estrada do Mandi,1205,Jardim Adriane,SAO PAULO,08596000,-23.474907,-46.326792,58891504005430,$,25,Lanches,4.8,46,13.99,NÃO
Churrascaria do Arruda,Rua Jacareí,1065,Jardim Valparaíso,ITAQUAQUECETUBA,08577805,-23.493472,-46.366489,41747539000196,$,0,Marmita,4.8,75,5,NÃO
Ice Mega Jh Gelo Saborizado,Av. Emancipação,52,Centro,ITAQUAQUECETUBA,08570002,-23.477568,-46.353444,56770513000136,$,18,Congelados,5.0,36,4.99,NÃO
Boca Doce Açaí e Sorvete,Rua Maracanã,323,Chácara Maracanã,ITAQUAQUECETUBA,08581370,-23.457634,-46.349842,58712911000121,$,20,Sorvetes,0.0,50,4,NÃO
Goma Smash Burger,Estrada dos Índios,335,Jardim Amanda Caiubi,ITAQUAQUECETUBA,08587000,-23.421159,-46.311754,55972919000139,$,20,Lanches,4.9,57,15.5,NÃO
